name,normalized_name,source,publisher,pdf_page,rating,relevance_score,demidius_recommendation,tags,rules_summary,rules_verification_status,evaluation_method,citation
Bleed,bleed,Mythic Magic: Core Spells,Legendary Games,37,B,68,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy,"You can cast this spell as an immediate action. Augmented: If you expend two uses of mythic power, you can target a creature with 0 or more hit points that is currently taking hit point bleed dam- age.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Bless Water,bless water,Mythic Magic: Core Spells,Legendary Games,37,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,Holy water you create with this spell deals 4d4 points of damage to undead and evil out- siders and 2d4 points of damage to antipal- adins and clerics of evil deities. Your mythic holy water loses its potency after a…,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Bless Weapon,bless weapon,Mythic Magic: Core Spells,Legendary Games,37,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The weapon gains a +1 sacred bonus on attack and damage rolls against evil creatures. In addi- tion, if the weapon strikes an evil creature that has a form of damage reduction other than DR/ magic or DR/good, it…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Blight,blight,Mythic Magic: Core Spells,Legendary Games,37,D,37,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,The target plant creature takes 1d10 points of damage per caster level (maximum 15d10). A non-mythic plant creature failing its saving throw is destroyed regardless of its hit points.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Blur,blur,Mythic Magic: Core Spells,Legendary Games,37,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Increase the miss chance provided by mythic blur by 5%, plus an additional 5% per 3 mythic tiers.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Bull’S Strength,bull's strength,Mythic Magic: Core Spells,Legendary Games,37,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Your target gains a bonus to Strength checks equal to half its mythic tier and its carrying capacity is doubled. Augmented (6th): If you expend two uses of mythic power, the target gains a +6 enhancement bonus to its…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
"Bull’S Strength, Mass","bull's strength, mass",Mythic Magic: Core Spells,Legendary Games,37,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,"As mythic bull’s strength, but affecting one creature per level within range; the targets need not be within 30 feet of each other.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Call Lightning Storm,call lightning storm,Mythic Magic: Core Spells,Legendary Games,37,D,37,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,Each lightning bolt’s damage increases to 5d10 points of damage (10d8 points outdoors in stormy weather). Half of this damage is elec- tricity and half is sonic damage.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
Calm Animals,calm animals,Mythic Magic: Core Spells,Legendary Games,38,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The number of Hit Dice of animals you can calm with this spell is increased by an amount equal to your mythic tier, and the animals you target need only be within range; they need not be within 30 feet of each other.…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Calm Emotions,calm emotions,Mythic Magic: Core Spells,Legendary Games,38,A,83,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",casting-reliability|dispel|leadership,This spell lasts a number of rounds equal to half your mythic tier after you stop concentrating. The effect ends immediately if you attack.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Cat’S Grace,cat's grace,Mythic Magic: Core Spells,Legendary Games,38,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Your target gains a bonus to Dexterity checks equal to half its mythic tier, and once during the spell’s duration as a free action your target can ignore an effect that would cause it to fall prone. Augmented (6th): If…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
"Cat’S Grace, Mass","cat's grace, mass",Mythic Magic: Core Spells,Legendary Games,38,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,"As mythic cat’s grace, but affecting one creature per level; the targets need not be within 30 feet of each other. Jason Nelson & Jonathan Keith - 33 Jason Nelson & Jonathan Keith - 33",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Cause Fear,cause fear,Mythic Magic: Core Spells,Legendary Games,38,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Add your mythic tier to the Hit Die limit that this spell can affect; hence, if you are a 3rd-ti- er mythic character, you can affect creatures with 8 or few HD. For creatures of 5 or fewer Hit Dice, add a number of…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Charm Animal,charm animal,Mythic Magic: Core Spells,Legendary Games,38,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"As mythic charm person, except that it affects creatures of the animal type. Augmented: If you expend two uses of mythic power, the duration is increased to 1 day/level.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Charm Monster,charm monster,Mythic Magic: Core Spells,Legendary Games,38,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"As mythic charm person, except that the ef- fect is not restricted by creature type or size.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
"Charm Monster, Mass","charm monster, mass",Mythic Magic: Core Spells,Legendary Games,38,A,80,Mass social and combat control; immunity remains the limiting factor.,enchantment|mind-affecting,"As mythic charm monster, except that you add twice your mythic tier to the number Hit Dice of creatures you may charm.",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Charm Persona,charm persona,Mythic Magic: Core Spells,Legendary Games,38,B+,70,Supports the enchantment package after mind blank and immunity-granting effects are removed.,divination|enchantment,"You add your mythic tier to Charisma checks to convince the target to act as you command, and the target can understand your commands or suggestions as if you shared a language, though you are not otherwise able to…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Chill Touch,chill touch,Mythic Magic: Core Spells,Legendary Games,38,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The damage dealt increases to 2d4 points of damage and 1d2 points of Strength damage on a failed save. Instead of making one attack per level, you can discharge the spell’s effect as a single attack that deals 1d4…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38."
Clairaudience/Clairvoyance,clairaudience/clairvoyance,Mythic Magic: Core Spells,Legendary Games,39,B,69,Supports Demidius's strategic planning and identification role.,casting-reliability|divination,"When you scry into a naturally darkened area, increase the distance you can see by 5 feet times your mythic tier. You may also see half this dis- tance within magical darkness, as long as the darkness was created by a…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39."
Clenched Fist,clenched fist,Mythic Magic: Core Spells,Legendary Games,39,B,66,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel,"Add your mythic tier on attack and damage rolls with a mythic clenched fist, and each at- tack functions as an Awesome Blow. Add your mythic tier as a deflection bonus to the hand’s Armor Class, to its combat maneuver…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39."
Cloak Of Chaos,cloak of chaos,Mythic Magic: Core Spells,Legendary Games,39,C,51,"Low priority because Demidius is not a weapon, bomb, natural-attack, or companion-focused damage build.",casting-reliability|weapon-focused,Warded creatures gain a +6 deflection bonus to Armor Class and a +6 resistance bonus on sav- ing throws and spell resistance of 25 plus your mythic tier against lawful spells and spells cast by lawful creatures. A…,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39."
Clone,clone,Mythic Magic: Core Spells,Legendary Games,39,C,57,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,duration,"If you utilize a cubic inch of flesh from a dead doppelganger, you can make a blank clone that can support any small or medium humanoid creature. You choose which free soul you invite to inhabit the clone, but the soul…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39."
Command Plants,command plants,Mythic Magic: Core Spells,Legendary Games,39,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"You add your mythic tier to Charisma checks to convince the target to act as you com- mand, and you increase the total Hit Dice of plant creatures you can control by an amount equal to twice your mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39."
Command Undead,command undead,Mythic Magic: Core Spells,Legendary Games,40,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"The duration increases to one week per level. A non-mythic undead creature automatically obeys your orders as long as they are not suicidal or obviously harmful (though they may be danger- ous, such as ordering the…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
"Command, Greater","command, greater",Mythic Magic: Core Spells,Legendary Games,39,B,65,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"Creatures that succeed on their saving throw against this spell, whether when initially cast or in a subsequent round, become staggered and remain staggered until they successfully save a second time in a subsequent…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39."
Commune,commune,Mythic Magic: Core Spells,Legendary Games,40,A,80,Reliable divine intelligence for planning and investigation.,divination|divine,"You may ask an additional number of yes/no questions equal to your mythic tier. Alternative- ly, you can ask a single question and receive an answer with a total number of words equal to your caster level plus twice…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
Commune With Nature,commune with nature,Mythic Magic: Core Spells,Legendary Games,40,B+,76,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy|divination,"You gain a number of pieces of information equal to 3 plus your mythic tier, and the spell’s detection operates at a range of 1 mile (or 100 feet underground) times your caster level plus your mythic tier. You may…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
Comprehend Languages,comprehend languages,Mythic Magic: Core Spells,Legendary Games,40,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You gain a bonus to Linguistics checks equal to one-half your mythic tier and can read non-magi- cal writings at a rate of one page per round rather than per minute. In addition, you can expend a portion of the spell’s…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
"Confusion, Lesser","confusion, lesser",Mythic Magic: Core Spells,Legendary Games,40,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You affect a single living creature as mythic confusion, as described in Chapter 3 of Path- finder Roleplaying Game Mythic Adventures. Augmented: If you expend two uses of mythic power, the duration is increased by one…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
Contact Other Plane,contact other plane,Mythic Magic: Core Spells,Legendary Games,40,B+,72,Powerful information with risk; improved by planar-focused abilities.,divination|planar,"You may ask one extra question per mythic tier and subtract your mythic tier from your percentile roll to determine the truthfulness of the answer. If you choose to ask only one question, you do not have to make a save…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
Continual Flame,continual flame,Mythic Magic: Core Spells,Legendary Games,40,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The radius of normal light provided by this spell increases by 5 feet per two mythic tiers, while the radius of increased light increases by 5 feet per mythic tier. In addition, the con- tinual flame gives off a…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40."
Control Plants,control plants,Mythic Magic: Core Spells,Legendary Games,41,C,56,Potential party-force multiplier consistent with Demidius's support and command role.,leadership,"Add twice your mythic tier to the total Hit Dice of plant creatures you can control, and the crea- tures need only be within range to be affected; they need not be within 30 feet of each other. In addition, while…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41."
Control Undead,control undead,Mythic Magic: Core Spells,Legendary Games,41,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,Add twice your mythic tier to the Hit Dice of undead you may control. You may target any undead within range; they need not be within 30 feet of each other.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41."
Control Water,control water,Mythic Magic: Core Spells,Legendary Games,41,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The affected area increases to 20 ft./level by 20 ft./level, with a depth of 5 ft./level, and you can choose to make the waters within churn- ing and rough (penalizing Swim checks by an amount equal to your mythic…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41."
Control Winds,control winds,Mythic Magic: Core Spells,Legendary Games,41,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,The DC for Strength checks and Fly checks to avoid being checked or blown away is in- creased by your mythic tier. The attack roll penalties for ranged attacks are increased by an amount equal to half your tier.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41."
Create Food And Water,create food and water,Mythic Magic: Core Spells,Legendary Games,41,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The food created by this spell is highly nourish- ing and refreshing. Eating and drinking this food for 10 minutes removes the fatigued condition and reduces exhaustion to fatigue (though con- tinuing to eat cannot…,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41."
