name,normalized_name,source,publisher,pdf_page,rating,relevance_score,demidius_recommendation,tags,rules_summary,rules_verification_status,evaluation_method,citation
Acid Splash,acid splash,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,Add one-half your mythic tier to the damage dealt by this spell. All creatures adjacent to the target take 1 point of splash damage from the acid.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Acidic Grease,acidic grease,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,56,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,casting-reliability|damage,"The DC of the Acrobatics check to avoid falling increases to 20. In addition, the damage dealt to creatures and objects that have fallen into the area increases to 1d8 hp/caster level.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Acidic Spray,acidic spray,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,"This spell deals 1d10 points of damage per caster level (maximum 15d10), and creatures failing their saving throw are sickened until the end of their next turn and take an additional 1d10 points of damage per two…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Acoustic Dampening,acoustic dampening,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The target gains a bonus equal to 2 + your mythic tier on saves vs. sonic and sound-based effects.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Acute Senses,acute senses,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You may choose to increase the bonus on Perception checks provided by this spell by an amount equal to twice your mythic tier. Alternatively, you may grant the normal bonus as well as one of the following senses:…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Adelian Torchbearers,adelian torchbearers,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You conjure 1d8 force servants. In addition, the range of this spell becomes medium (100 ft.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Adjuring Step,adjuring step,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,56,Potential party-force multiplier consistent with Demidius's support and command role.,party,The duration of the spell increases to 1 min./level. None of your actions provoke attacks of opportunity as long as you move 5 feet or less for each action.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Adoration,adoration,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,56,Potential party-force multiplier consistent with Demidius's support and command role.,leadership,You add half your tier to the morale bonuses granted by the spell. Any creature that attempts to harm the target of the spell must make a Will save.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Aegis,aegis,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The aegis counters non-mythic spells of 8th level and lower. It counters mythic spells of 6th level and lower.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Age Resistance (All),age resistance (all),Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You may extend the duration of this effect to one day times your mythic tier. Alternatively, you may change the range of this spell to touch.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Agonize,agonize,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,This spell has half the normal effect on a successful save rather than being negated. Its saving throw becomes Fortitude: partial.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Agonizing Rebuke,agonizing rebuke,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Nonlethal damage dealt by this spell is increased to 2d8 points of damage per attack or harmful action made against you. In addition, a target that takes nonlethal damage from this spell becomes shaken for as long as…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Agonizing Sphere,agonizing sphere,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The sphere’s damage increases to 2d8 hp electrical damage + 1d8 for every two caster levels beyond third.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Aid,aid,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,46,Potential party-force multiplier consistent with Demidius's support and command role.,leadership|weapon-focused,"The +1 morale bonus provided by the spell applies to attack rolls, weapon damage, and all saving throws, and the temporary hit points provided by the spell are increased to 2d6 plus 2 per caster level (maximum +20). In…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Air Bubble,air bubble,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The air bubble encompasses the entire creature, keeping it and its effects dry. Augmented (3rd): If you expend two uses of mythic power, the spell targets a number of willing touched creatures equal to your mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
Air Walk,air walk,Mythic Spell Compendium,Legendary Games / Kobold Press,14,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target walks straight upward at half speed, or straight downward at its normal speed, and its movement while walking on air is not impeded by non-mythic winds of less than windstorm strength. When determining how…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14."
"Air Walk, Communal","air walk, communal",Mythic Spell Compendium,Legendary Games / Kobold Press,15,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,See notes on communal spells. The mythic version of air walk is described above.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 15."
Alarm,alarm,Mythic Spell Compendium,Legendary Games / Kobold Press,15,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The duration is increased to 1 day per level, and you can hear the mental alarm anywhere on the same plane. You increase the range at which an audible alarm can be heard by 30 feet per mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 15."
Alchemical Allocation,alchemical allocation,Mythic Spell Compendium,Legendary Games / Kobold Press,15,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The spell has a duration of one round per mythic tier. On subsequent rounds you can gain the benefits of a potion or elixir without consuming it, spitting the contents back into its container.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 15."
Alchemical Inscrutability,alchemical inscrutability,Mythic Spell Compendium,Legendary Games / Kobold Press,15,C,51,Supports Demidius's strategic planning and identification role.,defense|divination|wrong-chassis,The drinker is protected against divinations as mind blank for a number of days equal to your mythic tier. You may also protect an object from divination by applying the extract to that object.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 15."
Alchemical Opacity,alchemical opacity,Mythic Spell Compendium,Legendary Games / Kobold Press,15,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"This spell reveals even creatures using mythic invisibility, and opacified invisible creatures find their vision obscured by the clinging emanation and have a 20% miss chance on attacks they make, though their…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 15."
Alchemical Sequestration,alchemical sequestration,Mythic Spell Compendium,Legendary Games / Kobold Press,16,B,68,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability|duration,"You can target a willing creature or object filling up to a 5-foot cube per level, and the duration changes to permanent. Augmented (10th): If you expend five uses of mythic power, you can also target all creatures and…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
Alchemical Tinkering,alchemical tinkering,Mythic Spell Compendium,Legendary Games / Kobold Press,16,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,You can transform an alchemical item into a different item with a higher cost than the original item. The new item’s cost can exceed the cost of the original by 10 gp times your mythic tier.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
Alien Contact,alien contact,Mythic Spell Compendium,Legendary Games / Kobold Press,16,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"As mythic lesser alien contact, but you can call one or more non-mythic aberrations or creatures with the alien or mythos subtype whose Hit Dice total no more than 12 plus half your mythic tier, or one or more mythic…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
"Alien Contact, Greater","alien contact, greater",Mythic Spell Compendium,Legendary Games / Kobold Press,16,C,53,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"As mythic lesser alien contact, but you can call one or more non-mythic aberrations or creatures with the alien or mythos subtype whose Hit Dice total no more than 18 plus half your mythic tier, or one or more mythic…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
"Alien Contact, Lesser","alien contact, lesser",Mythic Spell Compendium,Legendary Games / Kobold Press,16,B+,71,"Useful follow-up control after the opening dispel, though exact save and immunity profile determines priority.",battlefield-control|casting-reliability,"You can call a non-mythic aberration or creature with the alien or mythos subtype whose Hit Dice are up to 6 plus one-half your mythic tier. You can apply the alien, embryonic, or giant templates or other templates…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
Align Weapon,align weapon,Mythic Spell Compendium,Legendary Games / Kobold Press,16,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target weapon gains a +1 sacred (if good) or profane (if evil) bonus to attack and damage rolls against creatures of the opposite alignment. Lawful or chaotic weapons may gain either a sacred or profane bonus,…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
Allegro,allegro,Mythic Spell Compendium,Legendary Games / Kobold Press,16,B,64,Fits the Hermes/Fate's Favored luck engine; verify bonus type and stacking before use.,luck,"You gain the benefits of mythic haste, as described in Pathfinder Roleplaying Game Mythic Adventures, as long as you are maintaining a bardic performance. If you dismiss the spell to reroll a Reflex save or Dexterity-…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16."
Allfood,allfood,Mythic Spell Compendium,Legendary Games / Kobold Press,17,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You add your mythic tier to your caster level to determine the total weight of objects that you can transform into allfood, which may be a single object or up to one discrete object per mythic tier. The allfood’s…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 17."
Alter Self,alter self,Mythic Spell Compendium,Legendary Games / Kobold Press,17,B,68,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability|duration,"After casting the spell, you can change your shape an additional number of times equal to your mythic tier. Alternatively, you can cast this on a willing target with a range of touch (Fortitude negates (harmless),…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 17."
Alter Winds,alter winds,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Add your mythic tier to your caster level to determine the strength of winds you can affect. In addition, the radius of the spell is increased by 10 feet times your mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Altered Consciousness,altered consciousness,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,Add half your mythic tier (minimum 1) to the dodge bonus to AC and the maximum dodge bonus the spell can grant.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Amplify Elixir,amplify elixir,Mythic Spell Compendium,Legendary Games / Kobold Press,18,D,34,"Low priority because Demidius is not a weapon, bomb, natural-attack, or companion-focused damage build.",wrong-chassis,"For the duration of this extract, any potion or elixir you consume or oil applied to you is treated as if it were maximized. Increase all variable, numeric effects of the potion, oil, or elixir to maximum.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Amplify Ley Field,amplify ley field,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The field of charged ley energy extends to a 60-ft. radius.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Analyze Device,analyze device,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"If the target construct or clockwork device does not have DR, it gains DR 5/adamantine or bludgeoning if you activate or deactivate its mechanical properties, mechanisms, or functions, if appropriate.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
"Analyze Device, Greater","analyze device, greater",Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,53,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The spell’s casting time is 10 min.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Analyze Dweomer,analyze dweomer,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Non-mythic magical items automatically fail their save to resist a mythic analyze dweomer. In addition, each round you can examine a number of creatures or objects equal to one-half your mythic tier (minimum 1).",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Ancestral Memory,ancestral memory,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You add your mythic tier to the percentage chance of success in finding an ancestral memory. Even if this check fails, the insight bonus granted by this spell is 5 plus one-half your mythic tier (minimum 1).",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Ancestral Regression,ancestral regression,Mythic Spell Compendium,Legendary Games / Kobold Press,18,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,"You add twice your mythic tier on Disguise checks made by the target to appear as a surface elf, and the spell cannot be detected by non-mythic divinations unless the caster succeeds on a caster level check with a DC…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Angelic Seal,angelic seal,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The damage dealt to evil creatures attempting to enter the warded area, or coming into contact with doors, windows, or walls under the seal’s effect, increases to 13d6 hp. If the creature is flung backward more than 35…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
"Angelic Seal, Greater","angelic seal, greater",Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,53,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"As greater angelic seal, except a caster who attempts to remove the seal with a miracle or wish must make a successful DC 35 concentration check or fail and waste their spell.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Anger Of Many Faces,anger of many faces,Mythic Spell Compendium,Legendary Games / Kobold Press,18,C,57,Useful party recovery; lower priority because the group already has exceptional Life Oracle healing.,restoration,"The damage dealt by the shadowflesh heads increases to 1d8 hp damage/2 caster levels (maximum 5d8). Augmented (3rd): If you expend two uses of mythic power, when a creature has taken damage from a shadowflesh head,…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
Angry Mob,angry mob,Mythic Spell Compendium,Legendary Games / Kobold Press,18,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"You can duplicate the appearance of specific individuals in the crowd, though creatures very familiar with those individuals gain a +2 circumstance bonus on Will saves to disbelieve the illusion. You add one-half your…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18."
"Animal Aspect, Greater","animal aspect, greater",Mythic Spell Compendium,Legendary Games / Kobold Press,19,B+,71,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy,"You may freely shift your chosen animal aspect (or aspects, if you have chosen to gain two different aspects) as a swift action as often as desired during the spell’s duration. You may instead cast the non-mythic…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19."
Animal Contagion,animal contagion,Mythic Spell Compendium,Legendary Games / Kobold Press,19,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The DC of the save to avoid contracting the disease, and to avoid the disease’s effects once it is contracted, increases by +4.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19."
Animal Growth,animal growth,Mythic Spell Compendium,Legendary Games / Kobold Press,19,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You grant the target animal a +10 size bonus to Strength, a +6 size bonus to Constitution, and no penalty to Dexterity. Add half your mythic tier to the normal +2 bonus the animal gains to its natural armor.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19."
Animal Messenger,animal messenger,Mythic Spell Compendium,Legendary Games / Kobold Press,19,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You can implant a verbal message in the target animal, along with a triggering condition for that message to activate, as the magic mouth spell. The mythic animal messenger travels to the place you designate and waits…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19."
Animal Shapes,animal shapes,Mythic Spell Compendium,Legendary Games / Kobold Press,19,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,You may affect a number of targets equal to your caster level plus your mythic tier. Creatures gain the benefits of mythic beast shape III when polymorphed by this spell.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19."
Animal Trance,animal trance,Mythic Spell Compendium,Legendary Games / Kobold Press,19,D,42,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,narrow-target,"Add your mythic tier to the number of Hit Dice of animals you can fascinate. In addition, affected animals remain fascinated after you cease concentration for a number of rounds equal to your mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19."
