spell,normalized_name,core_pdf_page,compendium_pdf_page,difference_status,token_set_similarity,audit_note,core_citation,compendium_citation,verification_status
Arcane Sight,arcane sight,35,22,Minor revision,98.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 22.",Verified - programmatic full-text comparison
"Arcane Sight, Greater","arcane sight, greater",35,23,Minor revision,97.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 23.",Verified - programmatic full-text comparison
Astral Projection,astral projection,35,24,Minor revision,97.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 24.",Verified - programmatic full-text comparison
Atonement,atonement,35,25,Minor revision,98.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 25.",Verified - programmatic full-text comparison
Augury,augury,36,25,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 25.",Verified - programmatic full-text comparison
Awaken,awaken,36,26,Minor revision,98.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 26.",Verified - programmatic full-text comparison
Banishment,banishment,36,29,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 29.",Verified - programmatic full-text comparison
Bear’S Endurance,bear's endurance,36,29,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 29.",Verified - programmatic full-text comparison
"Bear’S Endurance, Mass","bear's endurance, mass",36,29,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 29.",Verified - programmatic full-text comparison
Beast Shape (All),beast shape (all),36,30,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 30.",Verified - programmatic full-text comparison
Bestow Curse,bestow curse,36,30,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 30.",Verified - programmatic full-text comparison
Binding,binding,37,31,Minor revision,97.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 31.",Verified - programmatic full-text comparison
Bleed,bleed,37,33,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 33.",Verified - programmatic full-text comparison
Bless Water,bless water,37,34,Substantive revision,96.4,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 34.",Verified - programmatic full-text comparison
Bless Weapon,bless weapon,37,34,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 34.",Verified - programmatic full-text comparison
Blight,blight,37,35,Minor revision,99.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 35.",Verified - programmatic full-text comparison
Blur,blur,37,38,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 38.",Verified - programmatic full-text comparison
Bull’S Strength,bull's strength,37,41,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 41.",Verified - programmatic full-text comparison
"Bull’S Strength, Mass","bull's strength, mass",37,41,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 41.",Verified - programmatic full-text comparison
Call Lightning Storm,call lightning storm,37,45,Substantive revision,97.0,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 45.",Verified - programmatic full-text comparison
Calm Animals,calm animals,38,46,Editorial / formatting-only,99.7,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 46.",Verified - programmatic full-text comparison
Calm Emotions,calm emotions,38,46,Minor revision,98.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 46.",Verified - programmatic full-text comparison
Cat’S Grace,cat's grace,38,48,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 48.",Verified - programmatic full-text comparison
"Cat’S Grace, Mass","cat's grace, mass",38,49,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 49.",Verified - programmatic full-text comparison
Cause Fear,cause fear,38,49,Editorial / formatting-only,99.5,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 49.",Verified - programmatic full-text comparison
Charm Animal,charm animal,38,50,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 50.",Verified - programmatic full-text comparison
Charm Monster,charm monster,38,51,Minor revision,98.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 51.",Verified - programmatic full-text comparison
"Charm Monster, Mass","charm monster, mass",38,51,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 51.",Verified - programmatic full-text comparison
Charm Persona,charm persona,38,,Core-only / absent by exact name,,"No exact-name entry found in the Compendium. Review for rename, omission, or replacement.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.",,Verified - programmatic full-text comparison
Chill Touch,chill touch,38,51,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 38.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 51.",Verified - programmatic full-text comparison
Clairaudience/Clairvoyance,clairaudience/clairvoyance,39,51,Minor revision,98.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 51.",Verified - programmatic full-text comparison
Clenched Fist,clenched fist,39,52,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 52.",Verified - programmatic full-text comparison
Cloak Of Chaos,cloak of chaos,39,52,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 52.",Verified - programmatic full-text comparison
Clone,clone,39,53,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 53.",Verified - programmatic full-text comparison
Command Plants,command plants,39,53,Minor revision,99.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 53.",Verified - programmatic full-text comparison
Command Undead,command undead,40,53,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 53.",Verified - programmatic full-text comparison
"Command, Greater","command, greater",39,53,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 39.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 53.",Verified - programmatic full-text comparison
Commune,commune,40,54,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 54.",Verified - programmatic full-text comparison
Commune With Nature,commune with nature,40,54,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 54.",Verified - programmatic full-text comparison
Comprehend Languages,comprehend languages,40,54,Minor revision,98.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 54.",Verified - programmatic full-text comparison
"Confusion, Lesser","confusion, lesser",40,55,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 55.",Verified - programmatic full-text comparison
Contact Other Plane,contact other plane,40,55,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 55.",Verified - programmatic full-text comparison
Continual Flame,continual flame,40,56,Minor revision,97.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 40.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 56.",Verified - programmatic full-text comparison
Control Plants,control plants,41,56,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 56.",Verified - programmatic full-text comparison
Control Undead,control undead,41,56,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 56.",Verified - programmatic full-text comparison
Control Water,control water,41,57,Substantive revision,96.1,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 57.",Verified - programmatic full-text comparison
Control Winds,control winds,41,57,Minor revision,98.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 57.",Verified - programmatic full-text comparison
Create Food And Water,create food and water,41,59,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 59.",Verified - programmatic full-text comparison
Create Greater Undead,create greater undead,42,60,Minor revision,99.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 42.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 60.",Verified - programmatic full-text comparison
Create Undead,create undead,41,60,Substantive revision,96.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 41.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 60.",Verified - programmatic full-text comparison
Create Water,create water,42,60,Editorial / formatting-only,99.7,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 42.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 60.",Verified - programmatic full-text comparison
Creeping Doom,creeping doom,42,60,Minor revision,97.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 42.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 60.",Verified - programmatic full-text comparison
Crushing Despair,crushing despair,42,61,Editorial / formatting-only,99.8,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 42.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 61.",Verified - programmatic full-text comparison
Crushing Hand,crushing hand,42,61,Minor revision,99.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 42.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 61.",Verified - programmatic full-text comparison
"Cure Critical Wounds, Mass","cure critical wounds, mass",43,62,Minor revision,98.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 62.",Verified - programmatic full-text comparison
"Cure Light Wounds, Mass","cure light wounds, mass",43,62,Minor revision,97.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 62.",Verified - programmatic full-text comparison
"Cure Moderate Wounds, Mass","cure moderate wounds, mass",43,62,Minor revision,98.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 62.",Verified - programmatic full-text comparison
"Cure Serious Wounds, Mass","cure serious wounds, mass",43,62,Minor revision,98.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 62.",Verified - programmatic full-text comparison
Curse Water,curse water,43,62,Editorial / formatting-only,99.5,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 62.",Verified - programmatic full-text comparison
Dancing Lights,dancing lights,43,65,Minor revision,99.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 65.",Verified - programmatic full-text comparison
Darkvision,darkvision,43,66,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 43.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 66.",Verified - programmatic full-text comparison
Daze,daze,44,66,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 66.",Verified - programmatic full-text comparison
Daze Monster,daze monster,44,66,Substantive revision,96.8,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 66.",Verified - programmatic full-text comparison
Death Ward,death ward,44,67,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 67.",Verified - programmatic full-text comparison
Deathwatch,deathwatch,44,68,Minor revision,98.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 68.",Verified - programmatic full-text comparison
Deeper Darkness,deeper darkness,44,68,Substantive revision,95.5,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 68.",Verified - programmatic full-text comparison
Delay Poison,delay poison,44,69,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 69.",Verified - programmatic full-text comparison
Delayed Blast Fireball,delayed blast fireball,44,69,Minor revision,99.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 44.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 69.",Verified - programmatic full-text comparison
Demand,demand,45,70,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 70.",Verified - programmatic full-text comparison
Destruction,destruction,45,70,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 70.",Verified - programmatic full-text comparison
Detect Animals Or Plants,detect animals or plants,45,70,Minor revision,98.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 70.",Verified - programmatic full-text comparison
Detect Chaos,detect chaos,45,71,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 71.",Verified - programmatic full-text comparison
Detect Evil,detect evil,45,71,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 71.",Verified - programmatic full-text comparison
Detect Good,detect good,45,72,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
Detect Law,detect law,45,72,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
Detect Magic,detect magic,45,72,Minor revision,98.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 45.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
Detect Poison,detect poison,46,72,Minor revision,99.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 46.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
Detect Secret Doors,detect secret doors,46,72,Minor revision,98.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 46.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
Detect Snares And Pits,detect snares and pits,46,72,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 46.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
