id,title,source,pdf_page,printed_page,category,target,priority,verification,summary,disposition
RPG-15,Master Siege Engineer,Ultimate Combat (PZO1118),110,109,Combat feat,Binky,A+,Verified in context,"Crew loads and aims siege engines with move actions instead of full-round actions.",Audit prerequisites
RPG-16,Siege Commander,Ultimate Combat (PZO1118),119,118,Combat feat,Binky,B+,Verified in context,"Improves crew assembly and movement and halves assembly time.",Useful for deployable guns; less critical for fixed ship cannons
RPG-17,Corvus boarding device,Ultimate Combat (PZO1118),166,165,Naval equipment,Dawnrunner,A,Verified in context,"Vehicle-mounted hooked boarding bridge attaches after opposed driving checks.",Evaluate for marine boarding doctrine
RPG-18,Vehicle driving rules,Ultimate Combat (PZO1118),171-172 and 185-187,170-171 and 184-186,Naval rules,Dawnrunner,A,Verified in context,"Profession sailor or Knowledge nature drives many sailing vessels.",Campaign workbook remains authoritative
RPG-19,Sounon downtime infrastructure,Ultimate Campaign (PZO1125),77-114,76-113,Optional subsystem,Sounon,A,Verified in context,"Waterfront docks shipbuilding Magical Repository Hospital Sailors teams managers and follower labor.",Adopt as planning framework only with GM approval
RPG-20,Contacts network,Ultimate Campaign (PZO1125),147-150,146-149,Optional subsystem,Demidius,B+,Verified in context,"Followers can operate as trusted named contacts and information sources.",Useful narrative layer without requiring full downtime economy
RPG-21,Call Beyond the Veil,Occult Adventures (PZO1132),211-212,210-211,Occult ritual,Aristea recovery,A,Verified in context,"Calls a deceased spirit from an extraplanar location for questioning with severe check and backlash risks.",Communication only; does not free Aristea
RPG-22,Robe of arcane heritage,Ultimate Equipment (PZO1123),217,216,Magic item,Okeanikos and Tulip,A,Rendered page verified,"Treats sorcerer level as four higher for bloodline powers and effects.",Check body slot and Dragon Disciple stacking
RPG-23,Saving Finale,Advanced Player's Guide (PZO1115),242,241,Bard spell,Roy,A+,Verified in context,"Immediate-action spell ends bardic performance so an affected ally can reroll a failed save.",Verify whether Roy already knows it
RPG-24,Brilliant Inspiration,Advanced Player's Guide (PZO1115),208,207,Bard spell,Roy,A,Verified in context,"Target rolls twice on attacks ability checks and skill checks and takes the better result.",Verify whether Roy already knows it
RPG-25,Expanded Arcana,Advanced Player's Guide (PZO1115),160,159,Feat,Spontaneous casters,A,Verified in context,"Adds one spell known or two spells below the highest castable level.",Compare against pages of spell knowledge and retraining
RPG-26,Ring of Revelation,Ultimate Equipment (PZO1123),174,173,Magic item,Amparo,B+,Verified in context,"Grants a contained revelation only to an oracle with the matching mystery; duplicates add one use when limited.",Life-mystery audit; cannot bypass mystery restriction
RPG-27,Undine racial options,Advanced Race Guide (PZO1121),176-179,175-178,Racial traits and feats,Maarin and Amparo,B+,Verified in context,"Includes Amphibious Hydrated Vitality Aquatic Ancestry and other water-focused options.",Audit current racial traits before recommending changes
