name,type,rating,recommendation,verification_status,source,publisher,pdf_page,printed_page,citation,tags,summary,gm_review
Bon Vivant,Universal path ability,C,Flavor only,Verified - complete,Mythic Minis 10: Universal Path Abilities,Legendary Games,2,2,turn7file0 L73-L79,social;information;lifestyle,"Free extravagant lifestyle and bonuses to local, nobility, and gather information.",No
Spectacular Death,Universal path ability,B-,Situational insurance,Verified - complete,Mythic Minis 10: Universal Path Abilities,Legendary Games,2,2,turn7file0 L80-L108,death;extra actions;mythic power,Spend remaining mythic power for final actions when killed or permanently incapacitated.,No
Dramatic Reveal,Universal path ability,B+,Recommended for Black Rose flavor,Verified - complete,Mythic Minis 16: Universal Path Abilities II,Legendary Games,2,2,turn7file1 L27-L38,social;secret identity;Black Rose,Conceals a signature identity from peers and grants a strong reveal bonus to Diplomacy or Intimidate.,No
Planar Scholar,Universal path ability,A / S during Tartarus,Arc-dependent recommendation,Verified - complete,Mythic Minis 16: Universal Path Abilities II,Legendary Games,2,2,turn7file1 L43-L67,planes;portals;Tartarus;navigation,"Detects and deciphers portals, improves planar divinations and plane shift accuracy, and grants entry bonuses.",No
Contingency Plan,Universal path ability,S,Strongly recommended,Verified - complete,Mythic Minis 16: Universal Path Abilities II,Legendary Games,2,2,turn7file1 L68-L77,contingency;action economy;defense;scrolls,Uses contingency as a spell-like ability and permits a companion spell from a scroll or other spell-completion item.,No
Eternal Youth,Universal path ability,B,Flavor / defensive option,Verified - complete,Mythic Minis 16: Universal Path Abilities II,Legendary Games,2,2,turn7file1 L78-L92,aging;immortality;appearance,"Progressively ignores aging penalties, becomes immune to unnatural aging, and changes apparent age.",No
Planar Savant,Universal path ability,A / A+ during Tartarus,Arc-dependent recommendation,Verified - complete,Mythic Minis 16: Universal Path Abilities II,Legendary Games,2,2,turn7file1 L93-L109,planes;banishment;navigation;Tartarus,"Provides planar survival, anti-banishment defenses, directional sense, and planar divination tools.",No
Companion Mythic Ability,Universal path ability,S+ ceiling,Search mythic monster abilities before selection,Verified - complete,Mythic Minis 16: Universal Path Abilities II,Legendary Games,2,2,turn7file1 L110-L115,cohort;companion;mythic monster ability,Grants a companion or cohort one mythic monster special ability appropriate to its creature type.,Yes
Echoing Spell (Mythic),Mythic metamagic feat,A,Consider for best repeatable spell,Verified - complete,Mythic Minis 51: Metamagic Feats,Legendary Games,2,2,turn8file0 L74-L84,metamagic;spell reuse;action economy,"After casting an echoing spell, use it once later that day as a component-free spell-like ability.",No
Piercing Spell (Mythic),Mythic metamagic feat,A,Strong against high SR,Verified - complete,Mythic Minis 51: Metamagic Feats,Legendary Games,2,2,turn8file0 L109-L118,spell resistance;metamagic,Reduces effective spell resistance by 5 plus mythic scaling.,No
Jinxed Spell (Mythic),Mythic metamagic feat,B+,"Thematic, prerequisite dependent",Verified - complete,Mythic Minis 51: Metamagic Feats,Legendary Games,2,2,turn8file0 L97-L108,luck;metamagic;debuff,Applies jinx to multiple failed targets and can pressure one successful saver.,Yes
Stealspell,Trickster path ability,B for Demidius,Interesting but attack-dependent,Verified - complete,Mythic Minis 8: Trickster Path Abilities,Legendary Games,2,2,turn8file1 L87-L96,counterspell;spell theft;attack,"Disrupt a spell with an attack, spend mythic power, and complete the stolen spell yourself.",No
Role Reversal,Trickster path ability,A-,Defensive enchantment option,Verified - complete,Mythic Minis 8: Trickster Path Abilities,Legendary Games,2,2,turn8file1 L108-L120,charm;compulsion;immediate action,"Reverse a failed charm, compulsion, or social influence effect back onto its creator.",No
False Allegiance,Trickster path ability,B+,Strong intrigue defense,Verified - complete,Mythic Minis 8: Trickster Path Abilities,Legendary Games,2,2,turn8file1 L52-L62,charm;compulsion;deception,"Resist influence and convince the enemy it succeeded, becoming treated as an ally until you act.",No
Ability Focus (Mythic),Monster feat,Contextual S for custom abilities,Use as precedent / companion option,Verified - complete,Mythic Minis 1: Monster Feats,Legendary Games,2,2,turn8file4 L25-L36,save DC;roll twice;monster ability,"Raises Ability Focus further and can force two saves, taking the lower result.",Yes
Ascendant Spell-like Ability (Mythic),Monster feat,Contextual A,Companion/SLA option,Verified - complete,Mythic Minis 5: Feats of Monstrous Magic,Legendary Games,2,2,turn8file3 L25-L50,spell-like ability;mythic spell,Allows a qualifying SLA to use the mythic version three times per day without mythic power.,Yes
Quicken Spell-like Ability (Mythic),Monster feat,Contextual A,Companion/SLA option,Verified - complete,Mythic Minis 5: Feats of Monstrous Magic,Legendary Games,2,2,turn8file3 L117-L128,spell-like ability;quicken;action economy,Improves repeated quickening and can quicken a different qualifying SLA by spending daily uses.,Yes
Inspired Spell,Hierophant path ability,S+,Strongly recommended under house rule,Verified - official source index,Pathfinder RPG Mythic Adventures,Paizo,Hierophant section,Unknown,Mythic Adventures Content Extraction Reference,spell access;divine casting;wizard-as-divine,Spend mythic power to cast an unprepared divine spell; uniquely broad under the campaign wizard-as-divine ruling.,Yes
Eldritch Breach,Archmage path ability,S,Recommended if path access permits,Verified - official source index,Pathfinder RPG Mythic Adventures,Paizo,Archmage section,Unknown,Mythic Adventures Content Extraction Reference,dispel;spell resistance;roll twice,"Roll twice on caster-level checks to dispel, overcome SR, or determine whether magic affects a target.",No
Divine Metamastery,Hierophant path ability,S,Core metamagic engine,Verified - official source index,Pathfinder RPG Mythic Adventures,Paizo,Hierophant section,Unknown,Mythic Adventures Content Extraction Reference,metamagic;action economy;quicken,Apply selected metamagic without increasing spell level or casting time for a duration.,No
Enduring Blessing,Hierophant path ability,A+,Recommended,Verified - official source index,Pathfinder RPG Mythic Adventures,Paizo,Hierophant section,Unknown,Mythic Adventures Content Extraction Reference,buff;duration;24 hours,Extends a qualifying willing-target buff to 24 hours.,No
Flexible Counterspell,Path ability,A+,Recommended unless redundant with mythic GDM,Verified - official source index,Pathfinder RPG Mythic Adventures,Paizo,Archmage/Hierophant sections,Unknown,Mythic Adventures Content Extraction Reference,counterspell;immediate action,Immediate-action counterspell using an identified spell and a slot of sufficient level.,No
Wandering Weather,Spell,S,Acquire as soon as possible,Verified - primary source,Ultimate Wilderness,Paizo,238,237,Ultimate Wilderness PDF p. 238 / printed p. 237,weather;Dawnrunner;mobility;logistics,Mobile control weather suitable for carrying selected weather with a moving galleon; numerical ship speed remains a campaign ruling.,Yes
Billow the Sail,Third-party spell,"S, conditional",Request GM approval,Verified - primary source,Book of Lost Spells,Frog God Games,26,25,Book of Lost Spells PDF p. 26 / printed p. 25,Dawnrunner;ship speed;favorable wind;logistics,Provides one sailing ship continual favorable wind and an explicit 25 percent speed increase for 1 hour per caster level.,Yes
Calculated Luck,Spell,"A, conditional",Prepare for planned repeated caster-level checks,Verified - primary source,Pathfinder Campaign Setting: Occult Mysteries,Paizo,52-53,50-51,Occult Mysteries PDF pp. 52-53 / printed pp. 50-51,luck;caster-level checks;dispel;spell resistance,Can grant a campaign-enhanced luck bonus to repeated caster-level checks but has a random assignment and energy-vulnerability cost.,Yes
