book,dawnrunner_relevance,demidius_relevance,divinity,influence,infrastructure,magical_supremacy,name,notes,other_character_relevance,pdf_page,prerequisites,probability,publisher,rating,summary,tags,type,verification_status
Advanced Options: Witches' Hexes,High,Very High,1,2,5,4,Rune Hex,,Preparation and security,5,,2,Super Genius Games,A+,Stores a known hex in a touch/read-triggered rune.,major-hex;rune;contingency,Major hex,Verified
Advanced Options: Witches' Hexes,Low,High,1,5,0,3,Allure,,Mass influence,5,,0,Super Genius Games,A,Sympathy centered on the witch.,grand-hex;sympathy;enchantment,Grand hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,1,0,2,Kiss of Death,,Lethal NPC option,6,,0,Super Genius Games,C,Finger of death through a kiss.,grand-hex;death,Grand hex,Verified
Advanced Options: Witches' Hexes,Very High,Medium,1,5,5,0,Retainers,,Organization building,6,,0,Super Genius Games,A+,"Leadership-like retainers, adding Intelligence to score and replacing cohort with multiple special retainers.",grand-hex;leadership;retainers,Grand hex,Verified
Advanced Options: Witches' Hexes,Medium,Medium,1,1,2,3,Shapeshift,,Aristea/shapeshifter,6,,0,Super Genius Games,A,Shapechange without focus for 5 minutes/level per day.,grand-hex;shapechange,Grand hex,Verified
Advanced Options: Witches' Hexes,High,Very High,3,4,4,5,Wish Giver,,Strategic flexibility,6,,2,Super Genius Games,S,Grant another creature a limited wish once/day without material component.,grand-hex;limited-wish,Grand hex,Verified
Advanced Options: Witches' Hexes,Medium,Medium,0,1,1,2,Enlarge Hex,,Hex users,6,"Int 13, hex class feature",0,Super Genius Games,B,Double the range of a non-touch hex several times/day.,feat;hex;range,Feat,Verified
Advanced Options: Witches' Hexes,Medium,High,0,1,0,3,Hex Expertise,,Hex users,6,"Int 13, hex class feature",1,Super Genius Games,A,Use a selected once-per-24-hours hex twice on the same target.,feat;hex;frequency,Feat,Verified
Advanced Options: Witches' Hexes,Low,High,0,1,0,4,Hex Focus,,Offensive hex users,6,"Int 13, hex class feature",0,Super Genius Games,A,Increase one selected hex's save DC by 2.,feat;hex;save-dc,Feat,Verified
Advanced Options: Witches' Hexes,Medium,Very High,0,1,0,4,Quicken Hex,,Action economy,6,"Int 13, major hex class feature",0,Super Genius Games,A+,Use a hex as a swift action once/day; later works on a major hex.,feat;hex;swift-action,Feat,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,1,1,Airburst Rocket,,Bomb specialist,2,,0,Super Genius Games,B-,Area rocket bomb with 60-foot range and 20-foot splash radius.,discovery;bomb;area,Discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,0,0,4,0,Amphibious Mutagen,,Aquatic crew,2,,0,Super Genius Games,B,Mutagen grants swim speed and underwater breathing.,discovery;mutagen;aquatic,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,0,2,Barb Bomb,,Battlefield control,2,,0,Super Genius Games,B,Bomb halves movement until healed or barbs are removed.,discovery;bomb;slow,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,0,4,Blinding Bomb,,Control alchemist,2,,0,Super Genius Games,A-,Replaces bomb damage with permanent blindness on direct hit and 1-round splash blindness.,discovery;bomb;blindness,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,1,Burst Bomb,,Bomb shape,2,,0,Super Genius Games,C,Bomb explodes as a 20-foot cone centered adjacent to the alchemist.,discovery;bomb,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,1,Chitinous Mutagen,,Defense,2,,0,Super Genius Games,C+,Mutagen grants +4 enhancement natural armor.,discovery;mutagen;armor,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,3,0,Cliffwalking Mutagen,,Shipboard mobility,2,,0,Super Genius Games,C+,Mutagen grants climb speed equal to half base speed.,discovery;mutagen;climb,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,0,3,Deafening Bomb,,Anti-caster support,2,,0,Super Genius Games,B+,Bomb permanently deafens on a failed Fortitude save.,discovery;bomb;deafened,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,2,Essence of Aberration,,Defense,2,,0,Super Genius Games,B,Mutagen gains 50% critical/sneak negation and darkvision.,discovery;mutagen;fortification,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,2,0,Essence of the Cheetah,,Mobility,2,,0,Super Genius Games,B,"Mutagen grants +30-foot haste bonus to speed, capped at double speed.",discovery;mutagen;speed,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,1,2,0,Essence of the Eagle,,Lookout support,2,,0,Super Genius Games,C+,Mutagen grants low-light vision and +4 sight-based Perception.,discovery;mutagen;perception,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,1,2,0,Essence of the Wolf,,Tracking/security,2,,0,Super Genius Games,C+,Mutagen grants scent.,discovery;mutagen;scent,Discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,0,0,4,2,Explosive Trap,,Ship/demiplane security,3,,0,Super Genius Games,B+,Turns a bomb into a proximity trap with high detection/disarm DC.,discovery;bomb;trap,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,0,High Explosive,,Damage alchemist,3,,0,Super Genius Games,C+,Spend two bombs for two additional damage dice.,discovery;bomb;damage,Discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,0,2,4,0,Homunculus,,Workshop/security,3,,0,Super Genius Games,A-,"Gain a homunculus familiar, replaceable for 1,000 gp and one day.",discovery;homunculus;familiar,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,0,Minibomb,,Bomb endurance,3,,0,Super Genius Games,B-,Reduce bomb damage by two dice to spend only half a daily bomb use.,discovery;bomb;efficiency,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,1,1,2,Phantom Mutagen,,Infiltration,3,,1,Super Genius Games,A-,Mutagen grants greater invisibility at class level.,discovery;mutagen;invisibility,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,Low,0,0,0,3,Potent Extract,,Alchemist buffing,4,,0,Super Genius Games,A-,Treat extract caster level as 2 higher.,discovery;extract;caster-level,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,Low,0,0,0,2,Preserved Extract,,Buff duration,4,,0,Super Genius Games,B,Increase extract durations over 1 round by 50%.,discovery;extract;duration,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,2,1,Rocket,,Ship combat,4,,0,Super Genius Games,B-,"Bomb range 40 feet, or 60 feet with one less damage die.",discovery;bomb;range,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,1,Vital Extract,,Sustain,4,,0,Super Genius Games,C+,"Every consumed extract heals Intelligence modifier, capped by extract level.",discovery;extract;healing,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,0,Volatile Bomb,,Damage alchemist,4,,0,Super Genius Games,C+,"Bombs gain 19–20 threat range, improving with Improved Critical.",discovery;bomb;critical,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,3,0,Durable Creations,,Device specialist,6,,0,Super Genius Games,B,Makes spagyric devices much harder to break or removes their energy vulnerability.,discovery;spagyric;durability,Spagyric discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,1,1,5,2,Esoteric Studies,,Crafting/infrastructure,6,,0,Super Genius Games,A+,Select two spells per class level from any list to expand item prerequisites for devices.,discovery;spagyric;spell-access;crafting,Spagyric discovery,Verified
Advanced Options: Alchemists' Discoveries,S,Low,0,4,5,0,Mass Production,,Outfitting followers,6,,0,Super Genius Games,S-,Duplicate devices count at half and then quarter cost against the daily device limit.,discovery;spagyric;mass-production,Spagyric discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,Low,0,0,0,2,Metamorph,,Transformation,7,,0,Super Genius Games,B,Once/day polymorph or baleful polymorph through metamorphosis.,discovery;metamorphosis;polymorph,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,1,0,Noble Metamorphosis,,Economic flavor,8,,0,Super Genius Games,C,Improves daily base-material conversion value.,discovery;metamorphosis;economy,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,1,0,Royal Metamorphosis,,Economic flavor,8,,0,Super Genius Games,C,Further improves daily base-material conversion value.,discovery;metamorphosis;economy,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,1,1,2,4,Ultimate Metamorph,,Strategic transmutation,8,,1,Super Genius Games,A,Once/day polymorph any object.,discovery;metamorphosis;polymorph-any-object,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Very High,Low,1,3,5,1,Spagyric Devices,Extremely strong infrastructure feature; requires GM scrutiny.,Dawnrunner quartermaster/crafter,4,,0,Super Genius Games,S-,"Replace bombs, mutagen, or extracts with a daily reconfigurable pool of magic-item-like devices based on a level-scaled gp limit.",alternate-alchemy;spagyric;magic-items;crafting,Alternate alchemy feature,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,2,2,Metamorphosis,,Transmutation specialist,7,,0,Super Genius Games,B,Replace a core alchemy feature with material transmutation plus ranged deterioration/transfiguration effects.,alternate-alchemy;metamorphosis,Alternate alchemy feature,Verified
Advanced Options: Alchemists' Discoveries,High,None,0,1,4,0,Extra Devices,,Device specialist,8,Spagyric devices,0,Super Genius Games,A-,Use the spagyric gp limit of an alchemist one level higher.,feat;spagyric,Feat,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,1,1,Extra Metamorphosis,,Metamorphosis specialist,8,Metamorphosis,0,Super Genius Games,B,Gain two additional great metamorphosis uses/day; stackable.,feat;metamorphosis,Feat,Verified
Advanced Options: Cavaliers' Orders,Low,Medium,0,0,0,3,Dauntless,,,3,,2,Super Genius Games,A-,"At 2nd level, the cavalier unbending as the weapons they favor. gains a +4 bonus to saving throws against Alignment: Any lawful. fear effects. When he does suffer a fear effect,",fear,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Bold,,,3,,0,Super Genius Games,C,"At 8th level, the cavalier can use some respect to all his fearless dedication to rise to the challenge laws which are applied when suffering from disadvantageous evenly and designed prove his bravery. He must be valorous in circumstances. If the cavalier has a penalty to maintain order. He deed, bold in his actions, and supp",fear;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Master of the Glaive,,,4,,0,Super Genius Games,C,"At 15th level, the is threatening the target. This bonus increases cavalier gains Whirlwind Attack as a bonus by +1 for every four levels the cavalier possesses. feat, but only when wielding a glaive or Skills: An order of the glaive cavalier adds other polearm with reach. The cavalier does Knowledge (nobility) (In",,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Student of the Glaive,,,4,,0,Super Genius Games,C,"At 2nd level, the of the individual. These cavaliers strongly CMD against attacks made by the target cavalier receives Weapon Focus (glaive) as a believe in loyalty, respect, and friendship of his challenge. This bonus increases by +2 bonus feat. In addition, as an immediate action, and aggressively defend the rights of the for every four",challenge;ship,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Medium,0,0,0,3,Griffon’s Stubbornness,,,4,,2,Super Genius Games,A-,"At 2nd level, Way of the Glaive (Ex): At 8th level, the cavalier Edicts: The cavalier must remain fiercely the cavalier gains a +2 bonus to his Will gains a +1 bonus on attack rolls and damage loyal to his friends and allies. He must saving throws. rolls with a glaive or other polearm with reach. defend every sentie",damage,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Medium,0,0,0,3,Way of the Glaive,,,4,,2,Super Genius Games,A-,"At 8th level, the cavalier Edicts: The cavalier must remain fiercely the cavalier gains a +2 bonus to his Will gains a +1 bonus on attack rolls and damage loyal to his friends and allies. He must saving throws. rolls with a glaive or other polearm with reach. defend every sentient being’s right to free Call of the Griff",damage,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Call of the Griffon,,,4,,0,Super Genius Games,C,"At 8th level, the These bonuses increase by +1 for every four will and oppose slavery in all forms. He must cavalier can call a griffon to serve as his cavalier levels beyond 8th. In addition, the dedicate himself to promoting free",,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Order of the Rose order of the rose gains the following abilities as,,,5,,0,Super Genius Games,C,"Order of the Rose order of the rose gains the following abilities as Cavaliers who join the order of the does not use the animal companion rules he increases in level. rose devote their lives to the cause of for advancement. Instead, the griffon is",,Cavalier order,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,This griffon is always considered helpful Freedom’s Child,,,5,,0,Super Genius Games,C,"At 15th level, the Skills: An order of the rose cavalier adds toward the cavalier, and it requires only cavalier is the epitome of freedom and free Heal (Wis) and Knowledge (religion) (Int) to three weeks of practice and training before will. Whenever the cavalier makes a Will his list of class skills. When making Knowledge becoming comfo",,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,3,Banner of Good,,,6,,0,Super Genius Games,C,"At 8th level, the Skills: An order of the secret flame cavalier’s banner ability bonuses increase by +2. cavalier adds Knowledge (arcana) (Int) and This bonus affects only allies who are good. Use Magic Device (Cha) to his list of class Righteous Challenge (Ex): At 15th level, the",magic;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,3,Righteous Challenge,,,6,,0,Super Genius Games,C,"At 15th level, the skills. Whenever he makes a Use Magic cavalier can make a righteous challenge once Device to activate an item a sorcerer or per day against an evil target. This functions wizard could use, he receives a bonus on like a normal challenge, but the cavalier adds his",magic;challenge,Feat,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,High,Low,0,0,4,3,Touch of Magic,,,6,,0,Super Genius Games,B,"At 2nd level, the Successful attacks from a righteous challenge cavalier gains the ability to cast read magic automatically bypass any DR the evil creature at will as a spell-like ability. The cavalier might possess.",spell;magic;ally;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,3,Master of the Secret Flame,,,6,,0,Super Genius Games,C,"At 15th graduates of a specific school, or even the vast secret flame cavalier issues a challenge, he level, the cavalier gains the power to cast idea of arcane magic. These cavaliers go to receives a +1 dodge bonus to his AC against",magic;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Trample,,,7,,0,Super Genius Games,C,"At 8th level, the cavalier’s mount is dedicated to the causes of evil, tyranny, (religion) (Int) to his list of class skills. In gains the trample special attack (see Universal and death. Members of this order are under addition, whenever an order of the skull no delusion",death,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Medium,Low,0,3,2,3,Guise,,,2,,0,Super Genius Games,A-,"An eidolon appears to be Ink Cloud (Ex): While underwater, an product. an ordinary (not summoned) humanoid, eidolon can emit a 10-foot-radius sphere of monstrous humanoid, animal, or magical ink once per minute as a free action. The ink beast (dependi",magic;eidolon;water,Class option,Verified — content-level extraction
