profile,score,title,url,category,authority,publisher,source_title,word_count,matched_terms,review_status
Aristea,95,Special Materials (Third-Party),https://www.d20pfsrd.com/equipment/special-materials-third-party/,equipment,Unclassified,,,30306,cold; construct; crafting; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,94,3rd Party Feats,https://www.d20pfsrd.com/feats/3rd-party-feats/,feats,Third-party,,,5324,cold; construct; crafting; ice; item creation; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,94,Intrigue,https://www.d20pfsrd.com/gamemastering/other-rules/intrigue/,gamemastering,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Ultimate Intrigue,52723,cold; construct; crafting; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,94,Legendary Wizard,https://www.d20pfsrd.com/classes/3rd-party-classes/legendary-games/legendary-wizard/,classes,Third-party,Legendary Games,Legendary Wizards,6484,benthic spell; cold; construct; crafting; ice; item creation; polymorph; ray; wizard,discovery-indexed; contextual verification required
Aristea,92,Magic,https://www.d20pfsrd.com/magic/,magic.html,Unclassified,"Orphaned Bookworm Productions, LLC, Author: Connor Bates","Good Hope - Crushing Despair,",24874,cold; construct; crafting; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,88,Spell Variants,https://www.d20pfsrd.com/magic/3rd-party-spells/rogue-genius-games-3rd-party-spells/spell-variants/,magic,Third-party,"Super Genius Games. Author: Owen K.C. Stephens The Genius Guide To: Another 110 Spell Variants. Copyright 2011, Super Genius Games. Author: Owen K.C. Stephens T",The Genius Guide To: 111 Spell Variants,20098,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,88,SpellTweets by Owen K.C. Stephens,https://www.d20pfsrd.com/extras/spelltweets-by-owen-k-c-stephens/,extras,Third-party,,#Spelltweets,12033,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,87,Legendary Cleric Domains,https://www.d20pfsrd.com/classes/3rd-party-classes/legendary-games/legendary-cleric/legendary-cleric-domains/,classes,Third-party,Legendary Games,Legendary Clerics,18250,cold; crafting; ice; item creation; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,86,Archmage,https://www.d20pfsrd.com/alternative-rule-systems/paizo-rules-systems/mythic/mythic-heroes/mythic-paths-paizo-inc/archmage/,alternative-rule-systems,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Mythic Adventures,6656,cold; crafting; ice; item creation; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,86,"Book, Golem Manual",https://www.d20pfsrd.com/magic-items/wondrous-items/a-b/book-golem-manual/,magic-items,Unclassified,,,2295,cold; construct; crafting; ice; polymorph; ray; water,discovery-indexed; contextual verification required
Aristea,86,Ironborn,https://www.d20pfsrd.com/races/3rd-party-races/rite-publishing/ironborn/,races,Third-party,Steven D. Russell Authors: Jonathan McAnulty and Steven D. Russell,In the Company of Monsters,9732,cold; construct; crafting; ice; item creation; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,84,Creature Types & Subtypes,https://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types/,bestiary,Unclassified,,,15727,cold; construct; ice; polymorph; shapechange; water,discovery-indexed; contextual verification required
Aristea,84,Skinwalker (10 RP),https://www.d20pfsrd.com/races/other-races/more-races/standard-races-1-10-rp/skinwalkers-10-rp/,races,Paizo,Paizo Inc.,Pathfinder Player Companion: Blood of the Moon,8479,cold; ice; polymorph; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,83,"Spells (Paizo, Inc.)",https://www.d20pfsrd.com/magic/all-spells/,magic,Unclassified,,,3069,cold; construct; ice; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,82,Hazards and Disasters – Rite Publishing,https://www.d20pfsrd.com/gamemastering/afflictions/hazards-and-disasters-rite-publishing/,gamemastering,Third-party,,101 Hazards and Disasters,32412,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,81,Machinesmith,https://www.d20pfsrd.com/classes/3rd-party-classes/louis-porter-jr-design/machinesmith/,classes,Third-party,"Louis Porter Jr. Design, Inc",Classes of NeoExodus: Machinesmith,9863,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,81,Magic Items,https://www.d20pfsrd.com/magic/variant-magic-rules/spheres-of-power/magic-items/,magic,Unclassified,,,13068,cold; construct; crafting; ice; item creation; ray; wizard,discovery-indexed; contextual verification required
Aristea,80,Monster Trainer Spells by Monster (3pp),https://www.d20pfsrd.com/magic/spells-by-class-3rd-party/trainer-spells-by-monster/,magic,Third-party,,,7703,cold; ice; nereus; polymorph; ray; water,discovery-indexed; contextual verification required
Aristea,78,Legendary Warpriest Domains,https://www.d20pfsrd.com/classes/3rd-party-classes/legendary-games/legendary-warpriest/legendary-warpriest-domains/,classes,Third-party,Legendary Games,"Legendary Prestige,",19124,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,78,Practitioner Bestiary,https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/spheres-of-might/practitioner-bestiary/,alternative-rule-systems,Third-party,,,17352,cold; construct; crafting; ice; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,77,Scaling Magic Items,https://www.d20pfsrd.com/gamemastering/other-rules/scaling-magic-items/,gamemastering,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Pathfinder Unchained,18070,cold; construct; crafting; ice; polymorph; ray; water,discovery-indexed; contextual verification required
Aristea,77,Spells (3rd Party),https://www.d20pfsrd.com/magic/3rd-party-spells/,magic,Third-party,,,5444,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,76,Advanced Magic,https://www.d20pfsrd.com/magic/variant-magic-rules/spheres-of-power/advanced-magic/,magic,Unclassified,"Drop Dead Studios LLC, Author Adam Meyers",Spheres of Power,18250,cold; construct; crafting; ice; item creation; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,76,Augmented Spells,https://www.d20pfsrd.com/alternative-rule-systems/paizo-rules-systems/mythic/mythic-magic/augmented-spells/,alternative-rule-systems,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Mythic Adventures,22464,cold; construct; ice; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,76,Witch,https://www.d20pfsrd.com/magic/spell-lists-and-domains/spell-list-witch/,magic,Unclassified,,,12977,cold; construct; ice; polymorph; ray; water,discovery-indexed; contextual verification required
Aristea,75,Brew Fleshcrafting Poison (Item Creation) (3.5E),https://www.d20pfsrd.com/feats/item-creation-feats/brew-fleshcrafting-poison-item-creation/,feats,Paizo,Paizo Inc.,Pathfinder 16: Endless Night,213,crafting; ice; item creation,discovery-indexed; contextual verification required
Aristea,75,Lifecrafting (Item Creation),https://www.d20pfsrd.com/feats/item-creation-feats/lifecrafting-item-creation/,feats,Paizo,Paizo Inc.,Pathfinder Player Companion: Heroes of Golarion,174,construct; crafting; item creation,discovery-indexed; contextual verification required
Aristea,72,"Locks, Keys, Tools & Kits",https://www.d20pfsrd.com/equipment/goods-and-services/tools-kits/,equipment-,Unclassified,,,16255,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,72,Strange Magic Item Creation,https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/strange-magic/strange-magic-item-creation/,alternative-rule-systems,Third-party,,,6232,cold; construct; ice; item creation; water,discovery-indexed; contextual verification required
Aristea,72,Technological Equipment,https://www.d20pfsrd.com/equipment/technological-equipment/,equipment,Paizo,Paizo Inc.,Pathfinder Campaign Setting: Technology Guide,3300,construct; crafting; ice; item creation; ray; wizard,discovery-indexed; contextual verification required
Aristea,72,Universal Monster Rules,https://www.d20pfsrd.com/bestiary/rules-for-monsters/universal-monster-rules/,bestiary,Unclassified,,,17485,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,72,Winter Warlock,https://www.d20pfsrd.com/classes/3rd-party-classes/magic-skull-games/winter-warlock/,classes,Third-party,Magic Skull Games Author: Steven F. Johnson,Grimoire Viperian: A Tome of Exotic Lore,2099,cold; ice; item creation; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,72,Wizard,https://www.d20pfsrd.com/extras/community-creations/black-flame-studios-lab/reignited/classes/wizard/,extras,Community,,,4136,cold; crafting; ice; item creation; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,71,Animal Companions,https://www.d20pfsrd.com/classes/core-classes/druid/animal-companions/,classes,Unclassified,,,39408,cold; ice; item creation; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,71,Artisan,https://www.d20pfsrd.com/classes/3rd-party-classes/drop-dead-studios/the-artisan/,classes,Third-party,Drop Dead Studios,The Artisan,7946,cold; construct; crafting; ice; item creation; polymorph; wizard,discovery-indexed; contextual verification required
Aristea,71,Building and Modifying Constructs,https://www.d20pfsrd.com/magic/building-and-modifying-constructs/,magic,Paizo,Paizo Inc.,Pathfinder Roleplaying Game: Ultimate Magic,4438,cold; construct; crafting; ice; item creation; ray,discovery-indexed; contextual verification required
Aristea,71,Legendary Oracles,https://www.d20pfsrd.com/classes/3rd-party-classes/legendary-games/legendary-oracles/,classes,Third-party,Legendary Games,Legendary Classes: Defenders of the Faith,3317,cold; ice; item creation; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,71,The Planes,https://www.d20pfsrd.com/gamemastering/environment/the-planes/,gamemastering,Paizo,Paizo Inc.,Pathfinder RPG GameMastery Guide,56912,cold; construct; crafting; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,71,Type Format Test,https://www.d20pfsrd.com/extras/community-creations/sowhereaminow-s-lab/type-format-test/,extras,Community,,,2331,cold; construct; ice; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,70,Fallen,https://www.d20pfsrd.com/classes/hybrid-classes/3rd-party-hybrid-classes/hybrid-classes-legendary-games/fallen/,classes,Third-party,Legendary Games,"The Bardess’ Library #21: The Corrupted,",4868,cold; ice; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,70,Monster Summoning,https://www.d20pfsrd.com/classes/3rd-party-classes/samurai-sheepdog/monster-trainer/trainer-perks/monster-summoning/,classes,Third-party,Samurai Sheepdog,Mystical: Kingdom of Monsters Anniversary Edition,2476,cold; construct; ice; polymorph; ray; water,discovery-indexed; contextual verification required
Aristea,70,Skinchanger,https://www.d20pfsrd.com/classes/3rd-party-classes/legendary-games/skinchanger/,classes,Third-party,,,9600,construct; crafting; ice; polymorph; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,70,Spellburst Savant,https://www.d20pfsrd.com/classes/3rd-party-classes/forrestfire-studios/spellburst-savant/,classes,Third-party,Forrestfire Studios,"Spellburst Savant: Revised Edition,",6010,cold; construct; ice; item creation; ray; wizard,discovery-indexed; contextual verification required
Aristea,70,Wilderness,https://www.d20pfsrd.com/gamemastering/environment/wilderness/,gamemastering,Unclassified,,,10838,cold; construct; crafting; ice; item creation; water,discovery-indexed; contextual verification required
Aristea,69,Curses,https://www.d20pfsrd.com/gamemastering/afflictions/curses/,gamemastering,Unclassified,,,10797,cold; construct; crafting; ice; polymorph; water; wizard,discovery-indexed; contextual verification required
Aristea,69,Occult Rewards,https://www.d20pfsrd.com/alternative-rule-systems/paizo-rules-systems/occult-adventures/occult-rules/occult-rewards/,alternative-rule-systems,Paizo,Paizo Inc.,,17117,cold; construct; crafting; ice; ray; water,discovery-indexed; contextual verification required
Aristea,69,Special Materials,https://www.d20pfsrd.com/equipment/special-materials/,equipment---final,Unclassified,,,9053,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,69,Technician,https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/spheres-of-might/character-options/classes/classes/technician/,alternative-rule-systems,Third-party,Drop Dead Studios LLC,"Spheres of Might,",17481,cold; construct; crafting; ice; item creation; ray; water,discovery-indexed; contextual verification required
Aristea,68,(Bestiary) By Type,https://www.d20pfsrd.com/bestiary/monster-listings/,bestiary,Unclassified,,,4586,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,68,All General Feats,https://www.d20pfsrd.com/feats/general-feats/all-general-feats/,feats,Unclassified,,,1860,cold; construct; crafting; ice; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,68,Kobold Press Spell List,https://www.d20pfsrd.com/magic/3rd-party-spells/kobold-press-open-design/kobold-press-spell-list/,magic,Third-party,,,25054,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,68,Kobold Press/Open Design,https://www.d20pfsrd.com/magic/3rd-party-spells/kobold-press-open-design/,magic,Third-party,,,25930,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,68,Monsters by Type,https://www.d20pfsrd.com/bestiary/bestiary-hub/monsters-by-type/,bestiary,Unclassified,,,4586,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,68,Rune Magic,https://www.d20pfsrd.com/magic/variant-magic-rules/rune-magic/,magic,Unclassified,,,4939,construct; crafting; ice; item creation; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,67,Druid,https://www.d20pfsrd.com/magic/spell-lists-and-domains/spell-lists-druid/,magic,Unclassified,,,8634,cold; construct; ice; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,66,Alchemical Creations,https://www.d20pfsrd.com/equipment/goods-and-services/herbs-oils-other-substances/,equipment,Unclassified,,,23356,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,66,S-Class Alchemist,https://www.d20pfsrd.com/classes/3rd-party-classes/samurai-sheepdog/s-class-characters/s-class-alchemist/,classes,Third-party,"– 2023, Samurai Sheepdog. Author: Kevin Glusing",S-class Characters: The Alchemist,8290,cold; ice; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,66,Shaman,https://www.d20pfsrd.com/magic/spell-lists-and-domains/shaman/,magic,Unclassified,,,7531,cold; construct; ice; polymorph; shapechange; water,discovery-indexed; contextual verification required
Aristea,65,Magus,https://www.d20pfsrd.com/magic/spell-lists-and-domains/magus-spell-list/,magic,Unclassified,,,7036,cold; construct; ice; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,65,Metamagic Feats,https://www.d20pfsrd.com/feats/metamagic-feats/,feats,Unclassified,,,3896,benthic spell; cold; ice; item creation; merciful spell; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,65,Mythic Magic,https://www.d20pfsrd.com/alternative-rule-systems/paizo-rules-systems/mythic/mythic-magic/,alternative-rule-systems,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Mythic Adventures,3509,cold; ice; polymorph; ray; wizard,discovery-indexed; contextual verification required
Aristea,65,Scholar,https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/spheres-of-might/character-options/classes/classes/scholar/,alternative-rule-systems,Third-party,Drop Dead Studios LLC,"Spheres of Might,",9915,cold; construct; crafting; ice; polymorph; water; wizard,discovery-indexed; contextual verification required
Aristea,64,Creating New Races,https://www.d20pfsrd.com/gamemastering/other-rules/creating-new-races/,gamemastering,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Advanced Race Guide,20037,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,64,Doomguard Dooms,https://www.d20pfsrd.com/classes/hybrid-classes/3rd-party-hybrid-classes/hybrid-classes-legendary-games/doomguard/doomguard-dooms/,classes,Third-party,Legendary Games,Legendary Classes: Defenders of the Faith,12032,cold; construct; crafting; ice; polymorph; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,64,Improved Repair Construct (Item Creation),https://www.d20pfsrd.com/feats/3rd-party-feats/rogue-genius-games/item-creation-feats-rogue-genius-games/improved-repair-construct-item-creation/,feats,Third-party,Rogue Genius Games,"The Construct Companion,",99,construct; crafting; item creation,discovery-indexed; contextual verification required
Aristea,64,Soulsown Talents,https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/strange-magic/classes/the-reaper/soulsown-talents/,alternative-rule-systems,Third-party,,,15721,cold; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,64,Talismanic Components,https://www.d20pfsrd.com/magic/variant-magic-rules/talismanic-components/,magic,Paizo,Paizo Inc.,Pathfinder Roleplaying Game: Ultimate Campaign,1591,cold; crafting; ice; item creation; polymorph; water; wizard,discovery-indexed; contextual verification required
Aristea,64,Traps,https://www.d20pfsrd.com/gamemastering/traps-hazards-and-special-terrains/traps/,gamemastering,Unclassified,,,6940,cold; construct; crafting; ice; ray; water,discovery-indexed; contextual verification required
Aristea,63,Dúlra Spells (3pp),https://www.d20pfsrd.com/magic/spells-by-class-3rd-party/dulra-spells-3pp/,magic,Third-party,,,6024,construct; ice; polymorph; ray; shapechange; water,discovery-indexed; contextual verification required
Aristea,63,Kitsune,https://www.d20pfsrd.com/races/other-races/uncommon-races/arg-kitsune/,races,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Advanced Race Guide,4734,cold; ice; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,63,Wondrous Items,https://www.d20pfsrd.com/magic-items/wondrous-items/,magic-items,Unclassified,,,10714,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,62,Agent of Chaos Water Nymph,https://www.d20pfsrd.com/bestiary/monster-listings/fey/agent-of-chaos-water-nymph/,bestiary,Third-party,,"Pathways Bestiary (c) 2017, Rite Publishing LLC.; Author: Steven D. Russell",3660,cold; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,62,Clever Godling,https://www.d20pfsrd.com/classes/3rd-party-classes/rogue-genius-games/clever-godling/,classes,Third-party,"Super Genius Games. Author: Owen K.C. Stephens The Genius Guide to Mystic Godlings. Copyright 2010, Super Genius Games. Author: Owen K.C. Stephens The Genius Gu",The Genius Guide to the Mystic Godling,14673,cold; construct; ice; item creation; polymorph; water; wizard,discovery-indexed; contextual verification required
Aristea,61,Craft Poppet (Item Creation),https://www.d20pfsrd.com/feats/item-creation-feats/craft-poppet-item-creation/,feats,Paizo,Paizo Inc.,Pathfinder Player Companion: Adventurer’s Armory 2,564,construct; ice; item creation; water,discovery-indexed; contextual verification required
Aristea,61,Fey Form,https://www.d20pfsrd.com/magic/all-spells/f/fey-form/,magic,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Ultimate Wilderness,1000,cold; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,61,Item Creation Feats,https://www.d20pfsrd.com/feats/item-creation-feats/,feats,Unclassified,,,1209,construct; crafting; ice; item creation,discovery-indexed; contextual verification required
Aristea,61,Poisons,https://www.d20pfsrd.com/gamemastering/afflictions/poison/,gamemastering,Unclassified,,,6396,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,60,Alchemist,https://www.d20pfsrd.com/classes/base-classes/alchemist/,classes,Paizo,Paizo Inc.,Advanced Player’s Guide,6190,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,60,Buildings,https://www.d20pfsrd.com/gamemastering/other-rules/kingdom-building/settlements/buildings/,gamemastering,Unclassified,,,22704,cold; construct; crafting; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,60,Monster Trainer Spell List (3pp),https://www.d20pfsrd.com/magic/spells-by-class-3rd-party/monster-trainer-spell-list/,magic,Third-party,,,5587,cold; construct; ice; polymorph; ray; water,discovery-indexed; contextual verification required
Aristea,60,Occultist Implements,https://www.d20pfsrd.com/alternative-rule-systems/paizo-rules-systems/occult-adventures/occult-classes/occultist/occultist-implements/,alternative-rule-systems,Paizo,Paizo Inc.,,13231,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,59,Adept Godling,https://www.d20pfsrd.com/classes/3rd-party-classes/rogue-genius-games/adept-godling/,classes,Third-party,"Rogue Genius Games. Author: Owen K.C. Stephens The Genius Guide to Mystic Godlings. Copyright 2010, Rogue Genius Games. Author: Owen K.C. Stephens The Genius Gu",The Genius Guide to the Godling,12880,cold; construct; ice; item creation; polymorph; water; wizard,discovery-indexed; contextual verification required
Aristea,59,Covenants – Purple Duck Games,https://www.d20pfsrd.com/classes/3rd-party-classes/purple-duck-games/the-medium/covenants-purple-duck-games/,classes,Third-party,Purple Duck Games,"Legendary Classes: Covenant Magic,",13752,cold; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,59,Craft (Int),https://www.d20pfsrd.com/skills/craft/,skills,Paizo,Paizo Inc.,Pathfinder RPG Core Rulebook,6105,cold; construct; crafting; ice; item creation; water,discovery-indexed; contextual verification required
Aristea,59,Feat Tree,https://www.d20pfsrd.com/feats/feat-tree/,feats,Unclassified,,,16765,cold; crafting; ice; item creation; merciful spell; ray; wizard,discovery-indexed; contextual verification required
Aristea,59,Kineticist Elements – Legendary Games,https://www.d20pfsrd.com/alternative-rule-systems/paizo-rules-systems/occult-adventures/occult-classes/kineticist/kineticist-elements/kineticist-elements-legendary-games/,alternative-rule-systems,Paizo,Paizo Inc.,,9284,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,59,Legendary Games,https://www.d20pfsrd.com/feats/3rd-party-feats/legendary-games/,feats,Third-party,,,1581,cold; construct; crafting; ice; item creation; polymorph; ray,discovery-indexed; contextual verification required
Aristea,59,Monsters by CR,https://www.d20pfsrd.com/bestiary/bestiary-hub/monsters-by-cr/,bestiary,Unclassified,,,5650,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,59,Monsters by Terrain,https://www.d20pfsrd.com/bestiary/bestiary-hub/monsters-by-terrain/,bestiary,Unclassified,,,4559,cold; construct; ice; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,59,Pactmaker,https://www.d20pfsrd.com/classes/3rd-party-classes/radiance-house/pactmaker/,classes,Third-party,Radiance House,Pact Magic Unbound: Grimoire of Lost Souls,11957,cold; ice; item creation; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Dawnrunner,186,Ultimate Ships,https://www.d20pfsrd.com/gamemastering/other-rules/ultimate-ships/,gamemastering,Third-party,Legendary Games,Ultimate Ships,26782,boarding; cannon; crew; favorable wind; naval combat; profession (sailor); sailing ship; sails; ship combat; siege engine,discovery-indexed; contextual verification required
Dawnrunner,164,Advanced Naval Combat,https://www.d20pfsrd.com/gamemastering/other-rules/ship-combat/advanced-naval-combat/,gamemastering,Paizo,Paizo Inc.,Skull & Shackles Player’s Guide,7169,boarding; crew; favorable wind; naval combat; profession (sailor); sailing ship; sails; ship combat; siege engine,discovery-indexed; contextual verification required
Dawnrunner,122,Ship Combat,https://www.d20pfsrd.com/gamemastering/other-rules/ship-combat/,gamemastering,Paizo,Paizo Inc.,"Pathfinder RPG GameMastery Guide,",984,crew; naval combat; profession (sailor); sails; ship combat; siege engine,discovery-indexed; contextual verification required
Dawnrunner,107,Sailing Ship,https://www.d20pfsrd.com/equipment/vehicles/water-vehicles/sailing-ship/,equipment,Unclassified,,,579,crew; profession (sailor); sailing ship; sails; siege engine,discovery-indexed; contextual verification required
Dawnrunner,78,Siege Engine: Ship’s Cannon,https://www.d20pfsrd.com/gamemastering/other-rules/siege-engines/3rd-party-publishers/adamant-entertainment/siege-engine-ship-s-cannon/,gamemastering,Third-party,"Adamant Entertainment, Inc. Authors: Walt Ciechanowski and Gareth-Michael Skarka","Tome of Secrets Tome of Secrets,",94,cannon; crew; sailing ship; siege engine,discovery-indexed; contextual verification required
Dawnrunner,74,Siege Engine: Cannon,https://www.d20pfsrd.com/gamemastering/other-rules/siege-engines/3rd-party-publishers/adamant-entertainment/siege-engine-cannon/,gamemastering,Third-party,"Adamant Entertainment, Inc. Authors: Walt Ciechanowski and Gareth-Michael Skarka","Tome of Secrets,",120,cannon; crew; siege engine,discovery-indexed; contextual verification required
Dawnrunner,73,Vessels and Vessel Customization,https://www.d20pfsrd.com/gamemastering/other-rules/ship-combat/vessels/,gamemastering,Paizo,Paizo Inc.,Skull & Shackles Player’s Guide,2321,cannon; crew; naval combat; sails; ship combat; siege engine,discovery-indexed; contextual verification required
Dawnrunner,71,Siege Engines,https://www.d20pfsrd.com/gamemastering/other-rules/siege-engines/,gamemastering,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Ultimate Combat,9632,boarding; cannon; crew; sails; siege engine,discovery-indexed; contextual verification required
Dawnrunner,64,Spell Effects in Naval Combat,https://www.d20pfsrd.com/gamemastering/other-rules/ship-combat/spell-effects-in-naval-combat/,gamemastering,Unclassified,,– Skull & Shackles Player’s Guide,1249,crew; naval combat; ship combat; siege engine,discovery-indexed; contextual verification required
Dawnrunner,59,Cannon Master (Combat),https://www.d20pfsrd.com/feats/combat-feats/cannon-master-combat/,feats,Paizo,Paizo Inc.,Pathfinder Campaign Setting: Inner Sea Combat,152,cannon; crew; siege engine,discovery-indexed; contextual verification required
